id,城市id,名称,,
112989,309,乌兰浩特市,,
113133,309,阿尔山市,,
113172,309,科尔沁右翼前旗,,
113488,309,科尔沁右翼中旗,,
113731,309,扎赉特旗,,
113980,309,突泉县,,
114204,296,二连浩特市,,
114222,296,锡林浩特市,,
114338,296,阿巴嘎旗,,
114425,296,苏尼特左旗,,
114491,296,苏尼特右旗,,
114578,296,东乌珠穆沁旗,,
114689,296,西乌珠穆沁旗,,
114808,296,太仆寺旗,,
115007,296,镶黄旗,,
115078,296,正镶白旗,,
115172,296,正蓝旗,,
115308,296,多伦县,,
115388,348,阿拉善左旗,,
115586,348,阿拉善右旗,,
115643,348,额济纳旗,,
115680,9,和平区,,
115800,9,沈河区,,
115925,9,大东区,,
116061,9,皇姑区,,
116201,9,铁西区,,
116406,9,苏家屯区,,
116597,9,浑南区,,
116807,9,沈北新区,,
117034,9,于洪区,,
117251,9,辽中区,,
117509,9,康平县,,
117703,9,法库县,,
117964,9,新民市,,
118367,20,中山区,,
118427,20,西岗区,,
118480,20,沙河口区,,
118579,20,甘井子区,,
118807,20,旅顺口区,,
118916,20,金州区,,
119195,20,长海县,,
119231,20,瓦房店市,,
119585,20,普兰店区,,
119863,20,庄河市,,
120166,88,铁东区,,
120291,88,铁西区,,
120397,88,立山区,,
120524,88,千山区,,
120595,88,台安县,,
120775,88,岫岩满族自治县,,
121008,88,海城市,,
121455,119,新抚区,,
121553,119,东洲区,,
121698,119,望花区,,
121851,119,顺城区,,
121977,119,抚顺县,,
122083,119,新宾满族自治县,,
122293,119,清原满族自治县,,
122519,184,平山区,,
122591,184,溪湖区,,
122685,184,明山区,,
122774,184,南芬区,,
122819,184,本溪满族自治县,,
122967,184,桓仁满族自治县,,
123110,131,元宝区,,
123163,131,振兴区,,
123263,131,振安区,,
123334,131,宽甸满族自治县,,
123552,131,东港市,,
123809,131,凤城市,,
124067,113,古塔区,,
124140,113,凌河区,,
124224,113,太和区,,
124393,113,黑山县,,
124745,113,义县,,
125012,113,凌海市,,
125320,113,北镇市,,
125587,133,站前区,,
125640,133,西市区,,
125690,133,鲅鱼圈区,,
125789,133,老边区,,
125854,133,盖州市,,
126183,133,大石桥市,,
126482,231,海州区,,
126567,231,新邱区,,
126595,231,太平区,,
126644,231,清河门区,,
126679,231,细河区,,
126743,231,阜新蒙古族自治县,,
127171,231,彰武县,,
127397,185,白塔区,,
127479,185,文圣区,,
127536,185,宏伟区,,
127582,185,弓长岭区,,
127621,185,太子河区,,
127696,185,辽阳县,,
127921,185,灯塔市,,
128142,163,双台子区,,
128215,163,兴隆台区,,
128355,163,大洼区,,
128540,163,盘山县,,
128713,232,银州区,,
128817,232,清河区,,
128878,232,铁岭县,,
